,id,name,year,rating,genre,director,actor,other actor,area
0,26752088,我不是药神,2018,9.0,剧情/喜剧/,文牧野,韩家女/钟伟/文牧野,徐峥/王传君/周一围/谭卓/章宇,中国大陆
1,26425063,无双,2018,8.2,剧情/动作/犯罪/,庄文强,庄文强,周润发/郭富城/张静初/冯文娟/廖启智,中国大陆/香港
2,26925317,动物世界,2018,7.3,剧情/动作/冒险/,韩延,韩延,李易峰/迈克尔·道格拉斯/周冬雨/曹炳琨/王戈,中国大陆
3,26985127,一出好戏,2018,7.2,剧情/喜剧/,黄渤,黄渤/张冀/郭俊立/查慕春/崔斯韦/邢爱娜/黄湛中,黄渤/舒淇/王宝强/张艺兴/于和伟,中国大陆
4,27102569,悲伤逆流成河,2018,5.8,剧情/爱情/,落落,落落/郭敬明,赵英博/任敏/辛云来/章若楠/朱丹妮,中国大陆
5,26387939,摔跤吧！爸爸,2016,9.1,剧情/家庭/传记/运动/,涅提·蒂瓦里,比于什·古普塔/施热亚·简/尼基尔·麦罗特拉/涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃,印度
6,1295644,这个杀手不太冷,1994,9.4,剧情/动作/犯罪/,吕克·贝松,吕克·贝松,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔,法国
7,26685451,流浪猫鲍勃,2016,8.0,剧情/喜剧/传记/,罗杰·斯波蒂斯伍德,詹姆斯·鲍恩/加里·詹金斯/提姆·约翰/玛丽亚·内申,卢克·崔德威/猫鲍勃/露塔·格德米纳斯/琼安·弗洛加特/安东尼·海德,英国
8,1291546,霸王别姬,1993,9.6,剧情/爱情/同性/,陈凯歌,芦苇/李碧华,张国荣/张丰毅/巩俐/葛优/英达,中国大陆/香港
9,27615441,网络谜踪,2018,8.5,剧情/悬疑/惊悚/,阿尼什·查甘蒂,阿尼什·查甘蒂/赛弗·奥哈尼安,约翰·赵/米切尔·拉/黛博拉·梅辛/约瑟夫·李/萨拉·米博·孙,美国/俄罗斯
10,1292720,阿甘正传,1994,9.4,剧情/爱情/,罗伯特·泽米吉斯,艾瑞克·罗斯/Winston Groom,汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德,美国
11,3541415,盗梦空间,2010,9.3,剧情/科幻/悬疑/冒险/,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾伦·佩吉/汤姆·哈迪/渡边谦,美国/英国
12,3011091,忠犬八公的故事,2009,9.3,剧情/,拉斯·霍尔斯道姆,斯蒂芬·P·林赛/新藤兼人,理查·基尔/萨拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利,美国/英国
13,26916229,镰仓物语,2017,6.9,剧情/奇幻/,山崎贵,山崎贵,堺雅人/高畑充希/堤真一/安藤樱/田中泯,日本
14,1889243,星际穿越,2014,9.2,剧情/科幻/冒险/,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/卡西·阿弗莱克/迈克尔·凯恩,美国/英国/加拿大/冰岛
15,26683290,你的名字。,2016,8.4,剧情/爱情/动画/,新海诚,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌,日本
16,26862829,芳华,2017,7.6,剧情/历史/战争/,冯小刚,严歌苓,黄轩/苗苗/钟楚曦/杨采钰/李晓峰,中国大陆
17,3742360,让子弹飞,2010,8.7,剧情/喜剧/动作/西部/,姜文,朱苏进/述平/姜文/郭俊立/危笑/李不空/马识途,姜文/葛优/周润发/刘嘉玲/陈坤,中国大陆/香港
18,3319755,怦然心动,2010,9.0,剧情/喜剧/爱情/,罗伯·莱纳,罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼,美国
19,1292052,肖申克的救赎,1994,9.6,剧情/犯罪/,弗兰克·德拉邦特,弗兰克·德拉邦特/斯蒂芬·金,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗,美国
20,1292722,泰坦尼克号,1997,9.3,剧情/爱情/灾难/,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍,美国
21,1849031,当幸福来敲门,2006,9.0,剧情/家庭/传记/,加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威/詹姆斯·凯伦,美国
22,30140571,嗝嗝老师,2018,7.5,剧情/喜剧/,西达夫·马贺拉,奥库勒·查乌赫雷/西达夫·马贺拉/巴·哈达普/加内萨·潘德特,拉妮·玛克赫吉/内拉吉·卡比/萨钦/苏普丽雅·皮尔加卡尔/罗特·萨拉夫,印度
